player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,Year,Category,smart_id,college_conference,college_name,draft_club,draftround,draft_number,rookie_year,season
julius peppers,1010,ED,CAR,17,3,0,NA,0,2,5,2,0,61.6,74.2,79,63.9,79.8,61.6,5,16,0,0,NA,14.3,3,0,1,0,0,13,0,1,0,7,531,530,1,36,461,32,0,1,369,155,0,26,15,4,0,34,0,0,0,NA,2017,Defense,32005045-5042-2041-8a3d-bd7e1af424ac,Atlantic Coast Conference,North Carolina,CAR,1,2,2002,16
terence newman,1321,SLOT,MIN,18,9,0,57.4,0,0,18,0,0,63.9,66.6,84.4,58.1,73,66.3,0,2,0,1,53,9.1,4,3,1,92.2,35,0,0,68,53,405,611,11,0,0,11,0,14,600,14,192,465,17,31,3,61,2,4,400,165,11.4,2017,Defense,32004e45-5747-5575-3d7d-f330b871461f,Big Twelve Conference,Kansas State,DAL,1,5,2003,15
terrell suggs,1326,ED,BLT,16,7,3,100,1,4,3,0,0,90,81,43.6,73.5,77.6,67.8,8,57,0,0,8,14.3,6,1,5,95.8,2,12,0,3,0,14,845,842,0,0,841,1,0,3,525,306,0,33,29,4,2,77,0,14,18,7,2017,Defense,32005355-4746-7201-659e-cd4b7a972eea,Pacific Ten Conference,Arizona State,BAL,1,10,2003,15
mike adams,1972,S,CAR,17,6,0,66.7,0,2,5,2,0,80.3,75.9,69.4,58.5,65.5,73.7,2,3,0,3,33,10.3,8,7,3,93.3,34,0,0,268,22,642,1022,108,0,0,108,0,483,914,36,344,141,24,64,2,51,5,5,336,195,9.9,2017,Defense,32004144-4151-5576-8fc8-c0de1821f384,Colonial Athletic Association,Delaware,NA,UDFA,NA,2004,14
adam jones,2223,CB,CIN,9,0,0,50,1,0,7,0,0,56.9,55.9,0,NA,65.7,65.3,0,0,0,1,20,12,3,4,5,60.7,15,0,0,13,281,188,299,2,0,0,2,0,0,297,0,111,3,3,22,0,30,0,1,142,27,9.5,2017,Defense,32004a4f-4e02-6865-2a3c-d70c6147829e,Big East,West Virginia,TEN,1,6,2005,13
thomas davis,2231,LB,CAR,16,11,0,79.3,1,0,5,1,0,61.6,64.1,27.3,66.9,66,73.2,3,17,0,0,24,9.9,8,0,4,125.6,46,2,0,617,8,429,849,147,0,0,147,0,0,702,125,295,77,37,62,4,58,22,5,421,260,9.2,2017,Defense,32004441-5676-8681-fe7b-57aa7bb1405a,Southeastern Conference,Georgia,CAR,1,14,2005,13
derrick johnson,2232,LB,KC,16,15,0,56.8,0,1,16,1,0,78.4,65.1,88.4,47.1,47.2,54,0,4,0,0,29,16.1,15,6,0,77.1,25,1,0,812,9,512,893,24,0,0,24,0,9,869,37,344,39,31,63,5,44,5,1,212,119,8.5,2017,Defense,32004a4f-4820-2085-b70c-2cc6ba9c6d5c,Big Twelve Conference,Texas,KC,1,15,2005,13
lorenzo alexander,2476,ED,BUF,17,10,0,83.3,0,2,4,0,0,47.2,58.7,36.1,64.2,66.5,44.7,12,16,0,0,39,20.7,18,1,3,111.2,30,4,0,451,0,205,719,236,0,0,236,0,0,483,207,307,32,35,59,7,36,32,1,305,186,10.2,2017,Defense,3200414c-4550-9608-2118-3bbb6cc8aec6,Pacific Ten Conference,California,NA,UDFA,NA,2005,13
ahmad brooks,2945,ED,GB,12,2,2,100,0,0,12,0,0,50.8,63.9,15.8,55.4,83.6,61,4,10,0,0,18,6.3,1,0,4,118.8,1,2,0,8,0,3,346,338,1,11,320,6,0,8,210,133,0,14,13,3,1,16,0,18,14,18,2017,Defense,32004252-4f11-4525-5226-b6a7cc8e3924,Atlantic Coast Conference,Virginia,CIN,3,86,2006,12
haloti ngata,2957,DI,DET,5,1,1,NA,0,0,11,0,0,54.3,66.4,42.5,75.5,61.2,73.1,1,4,0,0,NA,0,0,0,1,0,0,2,0,1,0,2,145,144,10,112,1,21,0,1,91,52,0,6,5,0,0,7,0,0,0,NA,2017,Defense,32004e47-4162-2937-18c8-15776113dbb1,Pacific Ten Conference,Oregon,BAL,1,12,2006,12
